,level_0,Unnamed: 0,index,team_name,team_id,color,logo,team_location
210,210,210,431,VMI,2678,#E52D37,https://a.espncdn.com/i/teamlogos/ncaa/500/2678.png,VMI
211,211,211,435,NORF,2450,#0c8968,https://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,Norfolk State
212,212,212,453,VILL,222,#00205b,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png,Villanova
213,213,213,455,SAM,2535,#005485,https://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,Samford
214,214,214,469,TAR,2627,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,Tarleton State
215,215,215,473,PV,2504,#4d0960,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,Prairie View A&M
216,216,216,479,STBK,2619,#990000,https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png,Stony Brook
217,217,217,495,SAC,16,#00573C,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,Sacramento State
218,218,218,501,JKST,2296,#123297,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,Jackson State
219,219,219,589,TAMC,2837,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2837.png,Texas A&M-Commerce
220,220,220,739,ACU,2000,#592d82,https://a.espncdn.com/i/teamlogos/ncaa/500/2000.png,Abilene Christian
221,221,221,747,UTU,3101,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/3101.png,Utah Tech
222,222,222,809,W&M,2729,#103217,https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png,William & Mary
223,223,223,1255,CAM,2097,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png,Campbell
224,224,224,1257,KENN,338,#fdbb30,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,Kennesaw State
225,225,225,1275,MRMK,2771,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2771.png,Merrimack
226,226,226,1471,UNA,2453,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2453.png,North Alabama
227,227,227,1479,UTC,236,#00386b,https://a.espncdn.com/i/teamlogos/ncaa/500/236.png,Chattanooga
228,228,228,1517,SHU,2529,#a40012,https://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,Sacred Heart
